,dis_subtype,dis_type,end_date,insur_dam,iso,location,st_date,total_affected,total_dam,total_deaths
1910-0005,Ground movement,Earthquake,24/06/1910,,DZA,Kabylie,24/06/1910,,,12
1927-0012,--,Flood,01/11/1927,,DZA,Mostaganem,01/11/1927,,,3000
1946-0001,Ground movement,Earthquake,12/02/1946,,DZA,Constantine,12/02/1946,,,276
1952-0026,--,Flood,/09/1952,,DZA,,/09/1952,,,25
1954-0017,Ground movement,Earthquake,09/09/1954,,DZA,Orleansville,09/09/1954,129250,6000,1250
1960-0033,Ground movement,Earthquake,21/02/1960,,DZA,"Melouza, Beni Illmane",21/02/1960,1250,,57
1963-0037,--,Flood,/12/1963,,DZA,Southern,/12/1963,45400,,
1965-0002,Ground movement,Earthquake,01/01/1965,,DZA,M\'sila & Environs,01/01/1965,49350,2000,2
1966-0079,--,Flood,06/10/1966,,DZA,West El-Asnam,06/10/1966,35912,10000,57
1967-0070,--,Flood,/11/1967,,DZA,Aures Samura Constantine,/11/1967,30000,3000,20
1969-0096,--,Flood,/10/1969,,DZA,"Alger, Oases, Titteri",/09/1969,200237,10000,76
1973-0016,--,Flood,/03/1973,,DZA,"Northeast, Tlemcen",/03/1973,146000,10000,21
1974-0017,--,Flood,31/03/1974,,DZA,"G. Kabylia, Tlemcem",31/03/1974,20000,30000,11
1979-0111,--,Flood,/12/1979,,DZA,Western,/12/1979,30000,,
1980-0096,Ground movement,Earthquake,10/10/1980,,DZA,El Asnam,10/10/1980,930317,5200000,2633
1980-0111,Ground movement,Earthquake,07/12/1980,,DZA,El Asnam area,07/12/1980,90,,2
1981-0116,--,Flood,04/09/1981,,DZA,El Elma,04/09/1981,50,,43
1981-9118,Drought,Drought,//1983,,DZA,,//1981,,,
1982-0121,--,Flood,10/11/1982,,DZA,Annaba (North),10/11/1982,8514,,37
1984-0100,--,Flood,/11/1984,,DZA,Western,/11/1984,1470,,54
1985-0143,--,Flood,09/01/1985,,DZA,North-East,09/01/1985,15000,,26
1985-0386,Ground movement,Earthquake,27/10/1985,,DZA,Constantine-Skikda area,27/10/1985,,1000,30
1987-0306,Ground movement,Earthquake,26/01/1987,,DZA,"Wilaya de Chle, Wilaya de Tissemsilt, Daira de Bordj Bou Naama, Larbaa",26/01/1987,3152,1000,1
1988-0042,Ground movement,Earthquake,31/10/1988,,DZA,Blida area,31/10/1988,257,,
1988-0404,--,Storm,/09/1988,,DZA,"Guezzam, Tin Zawaten, Badji Moktar",/09/1988,10107,,
1989-0139,Ground movement,Earthquake,29/10/1989,,DZA,"Chenoua, Blida, Tipasa, Boumerdes, Wilaya, El-Nador",29/10/1989,12184,,22
1992-0011,Riverine flood,Flood,29/01/1992,,DZA,"Alger, Tipaza, Blida, and Ain-Defla, Chlef Departments (Central and Western Algeria)",21/01/1992,2258,900,21
1992-0012,Ground movement,Earthquake,19/01/1992,,DZA,Ain-Defla,19/01/1992,2250,,
1993-0217,Riverine flood,Flood,20/10/1993,,DZA,"Oued Rhiou city (Relisan province), Chlef and Tiarette provinces",19/10/1993,16,,22
1993-0344,Landslide,Landslide,25/12/1993,,DZA,Oran,25/12/1993,696,,15
1994-0196,Ground movement,Earthquake,18/08/1994,,DZA,Mascara province,18/08/1994,12789,,171
1994-0306,Forest fire,Wildfire,/08/1994,,DZA,,/08/1994,,,22
1994-0347,Riverine flood,Flood,26/09/1994,,DZA,"Bodj-Bou-Arreridj, Tiaret province, Tissemsilt, Medea, M\'Sila, Naama regions",21/09/1994,1200,,32
1994-0503,--,Flood,/10/1994,,DZA,Tindouf Area,/10/1994,30000,,8
1996-0079,Riverine flood,Flood,30/04/1996,,DZA,El Tarf Region (Eastern Algeria),23/04/1996,101,,4
1997-0162,--,Flood,02/08/1997,,DZA,Ain Guezam,02/08/1997,3000,,4
1999-0040,--,Flood,14/01/1999,,DZA,Adrar Province,14/01/1999,702,,12
1999-0561,Ground movement,Earthquake,22/12/1999,,DZA,A?n T?muchent,22/12/1999,15175,60929,22
2000-0485,--,Flood,06/08/2000,,DZA,"Bordj Bou-Arr?ridj, Oum El-Bouaghi regions",06/08/2000,,,7
2000-0551,--,Flood,17/08/2000,,DZA,Bordj Badji Mokhtar (Adrar region),17/08/2000,100,,
2000-0692,Flash flood,Flood,25/10/2000,,DZA,"Regions of Naama and Tlemcen. Town: Ain Sefra, Sidi Bel Abbes, Relizane and El Bayadh",22/10/2000,100,,28
2000-0847,--,Storm,29/12/2000,,DZA,"B?ja?a, Alger region",29/12/2000,10,,4
2000-0848,Flash flood,Flood,13/10/2000,,DZA,Ain T?mouchent,13/10/2000,5,,9
2001-0620,Riverine flood,Flood,14/11/2001,,DZA,"Algiers (Bab el oued, Oued Koriche, Bologhine, Rais Hamidou, El Hammamet -Bains Romains, Ain Benian, Bouzareah, Dely Brahim, El Biar, Casbah, Alger Centre), Tipaza (Sidi Ghiles, Damous, Aghbal, Beni Melik), Tizi-Ouzou (Tigzirt, Azzefoun, Mezrana, Akkerou, Iflicen, Ait Chaffa, Aghrib), Oran (Sidi Chahmi, Azrew, Gdyel, Bettioua, Mers El Hadjadj, Oued Tlilat, El Braya, Ain Turk, El Ancer, Mers El Kebir), Chlef (El Marsa, Moussadek, Heranfa, Tenes, Sidi Abderrahmane, Dahra, Talassa, Bouzghaia, Taougrit, Tadjena, Breira, Oued Goussine, Sidi Akkache, Zeboudja, Abou El Hassan), Mascara (El Mamounia, Ain Fares,  El Goumri, Bouhnifia, El Gaada, Bouhani, Sidi Abdeldjabar, Oued El Abtal, Gherrous, Sidi Abdelmoumen, Ain Frass), Relizane (Hamri, Sidi Khettab, Bellasel, Ouarizane, Ouled Sidi Mihoub,El Matmar),  Mostaganen (Sidi Bellater, Mostaganem, Ain Nouissi, Forkala, El Hassaine, Ain Boudinar, Kheireddine, Seyada, Sidi Lakhdar, Achacha, Sour), Tlemcen (Tlemcen, Sebdou, El Ghazaouet, Sidi Djilali, Beni Senous, Terni, Ben Sekrane, Maghnia, Ain Ghouraba, Ain Tounane-Souahlia, Ain Talout), Sa?da (Saida, Ain Hadjer, El Hassasna, Oued Khaled, Ain Skhouna), Boumerdes (Cap Djenet, Zemmouri), A?n Defla (Tacheta, El Abadia, Ain Bouyahia, Khemis Meliana, Sidi Lakhdar, Bathia, El Hasnia, Belaas, Djelida, Bourached, Djemaa ouled Chickh, Ain El Achiakh, Oued El Djemaa, Ain Soltane, Bourj Amir Khaled, Tarek Ibn Zias, Bir Oud Khelifa, Ain Defla, Rouina, Almaine, Zedine, Hammam Righa, Ain Torki, Ain El Benian, El Attouf, Tibrikatine, Meliana, Ben Allal, El Amra, Arib, Mekhatris, Djendel, Bir Bouche, Oued El Chorafa)",10/11/2001,45423,300000,921
2002-0540,Riverine flood,Flood,28/08/2002,,DZA,"Tebessa (Ain Zega), Oum El Bouaghi, Batna (Oued Aouf, Taxlent), Mila (Telaghma),  Guelma (Dahouara), Khenchela, Souk Ahras, Medea, Sidi Bel Abes, Annaba regions (Aures region)",17/08/2002,2301,1500,29
2002-0648,Riverine flood,Flood,12/10/2002,,DZA,"Batna, Biskra, Hamma and Boutaleb (Setif region)",09/10/2002,4,,13
2002-0752,--,Flood,07/12/2002,,DZA,"Near B?ja?a, Tizi Ouzou (Petite et Grande Kabilie)",07/12/2002,,,6
